name,source,rarity,reqAttune,bonusSpellAttack,bonusSpellSaveDc,description
"Ioun Stone, Strength",DMG,very rare,by all race,,," An {@italic Ioun stone} is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of {@italic Ioun stone} exist, each type a distinct combination of shape and color. When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of {@dice 1d3} feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity ({@skill Acrobatics}) check. You can use an action to seize and stow the stone, ending its effect. A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head. Your Strength score increases by 2, to a maximum of 20, while this pale blue rhomboid orbits your head. "
"Ioun Stone, Sustenance",DMG,rare,by all race,,," An {@italic Ioun stone} is named after Ioun, a god of knowledge and prophecy revered on some worlds. Many types of {@italic Ioun stone} exist, each type a distinct combination of shape and color. When you use an action to toss one of these stones into the air, the stone orbits your head at a distance of {@dice 1d3} feet and confers a benefit to you. Thereafter, another creature must use an action to grasp or net the stone to separate it from you, either by making a successful attack roll against AC 24 or a successful DC 24 Dexterity ({@skill Acrobatics}) check. You can use an action to seize and stow the stone, ending its effect. A stone has AC 24, 10 hit points, and resistance to all damage. It is considered to be an object that is being worn while it orbits your head. You don't need to eat or drink while this clear spindle orbits your head. "
Iron Bands of Bilarro,DMG,rare,False,,," This rusty iron sphere measures 3 inches in diameter and weighs 1 pound. You can use an action to speak the command word and throw the sphere at a Huge or smaller creature you can see within 60 feet of you. As the sphere moves through the air, it opens into a tangle of metal bands. Make a ranged attack roll with an attack bonus equal to your Dexterity modifier plus your proficiency bonus. On a hit, the target is {@condition restrained} until you take a bonus action to speak the command word again to release it. Doing so, or missing with the attack, causes the bands to contract and become a sphere once more. A creature, including the one {@condition restrained}, can use an action to make a DC 20 Strength check to break the iron bands. On a success, the item is destroyed, and the {@condition restrained} creature is freed. If the check fails, any further attempts made by that creature automatically fail until 24 hours have elapsed. Once the bands are used, they can't be used again until the next dawn. "
Iron Flask,DMG,legendary,False,,," This iron bottle has a brass stopper. You can use an action to speak the flask's command word, targeting a creature that you can see within 60 feet of you. If the target is native to a plane of existence other than the one you're on, the target must succeed on a DC 17 Wisdom saving throw or be trapped in the flask. If the target has been trapped by the flask before, it has advantage on the saving throw. Once trapped, a creature remains in the flask until released. The flask can hold only one creature at a time. A creature trapped in the flask doesn't need to breathe, eat, or drink and doesn't age. You can use an action to remove the flask's stopper and release the creature the flask contains. The creature is friendly to you and your companions for 1 hour and obeys your commands for that duration. If you give no commands or give it a command that is likely to result in its death, it defends itself but otherwise takes no actions. At the end of the duration, the creature acts in accordance with its normal disposition and alignment. An {@spell identify} spell reveals that a creature is inside the flask, but the only way to determine the type of creature is to open the flask. A newly discovered bottle might already contain a creature chosen by the DM or determined randomly. "
Iron Pot,PHB,none,False,,, An iron pot holds 1 gallon of liquid. 
Ivana's Whisper,VRGR,unknown,False,,," This poison bears a distinct scent and chemical message from Ivana Boritsi. A creature subjected to this poison must succeed on a DC 18 Constitution saving throw or experience the effects of a {@spell dream} spell created by Ivana the next time they sleep. This poison is nonmagical, and Ivana doesn't directly communicate with those affected during the dream. Rather, she creates the illusion of speaking with her intended target by alchemically crafting her message, predicting her target's reactions, and chemically encoding in her responses. She wears this poison as a perfume or hides it within gift bouquets, allowing it to convey her message later. "
Jacinth,DMG,none,False,,, A transparent fiery orange gemstone. 
Jade,DMG,none,False,,," A translucent light green, deep green, or white gemstone. "
Jasper,DMG,none,False,,," An opaque blue, black, or brown gemstone. "
Javelin of Lightning,DMG,uncommon,False,,," This javelin is a magic weapon. When you hurl it and speak its command word, it transforms into a bolt of lightning, forming a line 5 feet wide that extends out from you to a target within 120 feet. Each creature in the line excluding you and the target must make a DC 13 Dexterity saving throw, taking {@damage 4d6} lightning damage on a failed save, and half as much damage on a successful one. The lightning bolt turns back into a javelin when it reaches the target. Make a ranged weapon attack against the target. On a hit, the target takes damage from the javelin plus {@damage 4d6} lightning damage. The javelin's property can't be used again until the next dawn. In the meantime, the javelin can still be used as a magic weapon. "
Jet,DMG,none,False,,, An opaque deep black gemstone. 
Jug,PHB,none,False,,, A jug holds 1 gallon of liquid. 
Keelboat,DMG,none,False,,," Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. "
Keoghtom's Ointment,DMG,uncommon,False,,," This glass jar, 3 inches in diameter, contains {@dice 1d4 + 1} doses of a thick mixture that smells faintly of aloe. The jar and its contents weigh ½ pound. As an action, one dose of the ointment can be swallowed or applied to the skin. The creature that receives it regains {@dice 2d8 + 2} hit points, ceases to be {@condition poisoned}, and is cured of any disease. "
Ladder (10-foot),PHB,none,False,,, Ladder (10-foot) 
Lamp,PHB,none,False,,," A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. "
Lantern of Revealing,DMG,uncommon,False,,," While lit, this {@item hooded lantern} burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot radius and dim light for an additional 30 feet. {@condition Invisible} creatures and objects are visible as long as they are in the lantern's bright light. You can use an action to lower the hood, reducing the light to dim light in a 5-foot radius. "
Lapis Lazuli,DMG,none,False,,, An opaque light and dark blue with yellow flecks gemstone. 
Sentience,EGW,artifact,by all race,,,"['The Lash of Shadows is a sentient chaotic evil weapon with an Intelligence of 18, a Wisdom of 16, and a Charisma of 20. It has hearing and {@sense darkvision} out to a range of 120 feet.', 'The weapon communicates telepathically with its wielder and can speak, read, and understand Abyssal, Common, and Draconic.'] "
Personality,EGW,artifact,by all race,,,['A mad {@creature marilith} named Sizlifeth lives within the Lash of Shadows. The weapon has a short temper and experiences only extreme emotions. It is most happy when dealing harm.'] 
Dormant,EGW,artifact,by all race,,,"['The whip grants the following benefits in its dormant state:', {'type': 'list', 'items': ['You can speak, read, and write Abyssal and Draconic.', 'You gain a +1 bonus to attack and damage rolls made with this magic weapon.', ""You can attempt to poison any creature that is hit by the whip. The creature must succeed on a DC 13 Constitution saving throw or suffer the effect of one of the following poisons of your choice; once a poison other than Serpent Venom has been used, that poison can't be used again until the next dawn:"", {'type': 'list', 'style': 'list-hang-notitle', 'items': [{'type': 'item', 'name': 'Dead Eyes', 'entry': 'A creature that fails the saving throw against this poison is {@condition poisoned} for 1 hour. While {@condition poisoned} in this way, the creature is {@condition blinded}.'}, {'type': 'item', 'name': 'Serpent Venom', 'entry': 'A creature that fails the saving throw against this poison takes {@damage 3d6} poison damage, or half as much damage on a successful save.'}]}]}] "
Betrayer Artifact Properties,EGW,artifact,by all race,,,"['The Arms of the Betrayers advance in power in the same manner as the Vestiges of Divergence. In its dormant state, each of these artifacts has one {@table Artifact Properties; Minor Beneficial Properties} property and one {@table Artifact Properties; Minor Detrimental Properties} property. When the artifact attains an awakened state, it gains an additional {@table Artifact Properties; Minor Beneficial Properties} property and an additional {@table Artifact Properties; Minor Detrimental Properties} property. When the item reaches its exalted state, it gains a {@table Artifact Properties; Major Beneficial Properties} property. See ""Artifact Properties"" in chapter 7 of the Dungeon Master\'s Guide for more information.'] "
Lash of Shadows (Dormant),EGW,artifact,by all race,,, This snakeskin whip is touched by the power of Zehir and ends in five animated serpent heads. 
Libram of Souls and Flesh,TCE,rare,by a wizard,,," With covers made of skin and fittings of bone, this tome is cold to the touch, and it whispers faintly. When found, the book contains the following spells, which are wizard spells for you while you are attuned to the book: {@spell animate dead}, {@spell circle of death}, {@spell false life}, {@spell finger of death}, {@spell speak with dead}, {@spell summon undead}, and {@spell vampiric touch}. It functions as a spellbook for you. While you are holding the book, you can use it as a spellcasting focus for your wizard spells. The book has 3 charges, and it regains {@dice 1d3} expended charges daily at dawn. You can use the charges in the following ways while holding it: "
Tattoo Attunement,TCE,very rare,by all race,,,"['To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.', 'If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.'] "
Necrotic Resistance,TCE,very rare,by all race,,,['You have resistance to necrotic damage.'] 
Life Ward,TCE,very rare,by all race,,,"[""When you would be reduced to 0 hit points, you drop to 1 hit point instead. Once used, this property can't be used again until the next dawn.""] "
Lifewell Tattoo,TCE,very rare,by all race,,," Produced by a special needle, this magic tattoo features symbols of life and rebirth. "
Lightning Absorbing Tattoo,TCE,very rare,by all race,,, {#itemEntry Absorbing Tattoo} 
Lock,PHB,none,False,,," A key is provided with the lock. Without the key, a creature proficient with {@item thieves' tools} can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices. "
Lock of Trickery,XGE,common,False,,, This lock appears to be an ordinary lock (of the type described in chapter 5 of the Player's Handbook) and comes with a single key. The tumblers in this lock magically adjust to thwart burglars. Dexterity checks made to pick the lock have disadvantage. 
Longhorn,SCAG,none,False,,," A Faerûnian flute of sophisticated make, found only in areas with skilled artisans, as in great cities or elven enclaves. "
Random Properties,TCE,artifact,by all race,,,"['The artifact has the following random properties, which you can determine by rolling on the tables in the ""Artifacts"" section of the {@book Dungeon Master\'s Guide}:', {'type': 'list', 'items': ['2 {@table Artifact Properties; Minor Detrimental Properties} properties', '2 {@table Artifact Properties; Minor Beneficial Properties} properties']}] "
Spells,TCE,artifact,by all race,,,"[""While holding the deck, you can use an action to cast one of the following spells (save DC 18) from it: {@spell comprehend languages}, {@spell detect evil and good}, {@spell detect magic}, {@spell detect poison and disease}, {@spell locate object}, or {@spell scrying}. Once you use the deck to cast a spell, you can't cast that spell again from it until the next dawn.""] "
Enduring Vision,TCE,artifact,by all race,,,"['While holding the deck, you automatically succeed on Constitution saving throws made to maintain your {@status concentration} on divination spells.'] "
Twist of Fate,TCE,artifact,by all race,,,"['As an action, you can draw a card from the deck and twist the fortune of another creature you can see within 15 feet of you. Choose one of the following effects:', {'type': 'list', 'style': 'list-hang-notitle', 'items': [{'type': 'item', 'name': 'Weal', 'entry': 'The creature has advantage on attack rolls, ability checks, and saving throws for the next hour.'}, {'type': 'item', 'name': 'Woe', 'entry': 'The creature has disadvantage on attack rolls, ability checks, and saving throws for the next hour.'}, 'The deck can be used in this way twice, and you regain all expended uses at the next dawn.']}] "
Prisoners of Fate,TCE,artifact,by all race,,,"['Whenever you use the Twist of Fate property, there is a chance that one of the souls trapped in the deck escapes. Roll {@dice d100} and consult the Souls of the Tarokka table. If you roll one of the high cards, the soul associated with it escapes. You can find its statistics in the {@book Monster Manual}. If you roll a soul that has already escaped, roll again.', {'type': 'table', 'caption': 'Souls of the Tarokka', 'colLabels': ['d100', 'Card', 'Soul'], 'colStyles': ['col-2 text-center', 'col-5 text-center', 'col-5 text-center'], 'rows': [['1', 'Artifact', '{@creature Flameskull}'], ['2', 'Beast', '{@creature Wraith}'], ['3', 'Broken', '{@creature Banshee}'], ['4', 'Darklord', '{@creature Vampire}'], ['5', 'Donjon', '{@creature Mummy}'], ['6', 'Executioner', '{@creature Death knight}'], ['7', 'Ghost', '{@creature Ghost}'], ['8', 'Horseman', '{@creature Mummy lord}'], ['9', 'Innocent', '{@creature Ghost}'], ['10', 'Marionette', '{@creature Mummy}'], ['11', 'Mists', '{@creature Wraith}'], ['12', 'Raven', '{@creature Vampire spawn}'], ['13', 'Seer', '{@creature Vampire}'], ['14', 'Tempter', '{@creature Vampire spawn}'], ['15-100', '—', '—']]}, ""The released soul appears at a random location within {@dice 10d10} miles of you and terrorizes the living. Until the released soul is destroyed, it gains the benefit of a weal from the deck's Twist of Fate property, and both you and the original target of Twist of Fate suffer the effect of woe.""] "
Shuffling Fate,TCE,artifact,by all race,,,"[""If you go 7 days without using the Twist of Fate property, your attunement to Luba's Tarokka of Souls ends, and you can't attune to it again until after another creature uses Twist of Fate on you.""] "
Destroying the Deck,TCE,artifact,by all race,,,"[""Luba's Tarokka of Souls can be destroyed only if all fourteen souls within are released and destroyed. This reveals a fifteenth soul, a {@creature lich}, that inhabits the Nether card, which appears only when the fourteen souls are defeated. If this ancient entity is destroyed, the Nether card vanishes and the deck becomes a normal {@deck tarokka deck}, with no special properties, but it includes a new card of the DM's design."", {'type': 'entries', 'name': 'Mother Luba and the Vistani', 'entries': [""The creator of the Tarokka of Souls, Mother Luba was one of the most influential leaders of the Vistani. For untold generations, the Vistani have wandered the Shadowfell, which includes terrifying demiplanes like the vampire-haunted realm of Barovia. These travelers have learned many secrets of these domains and encountered countless others wandering amid the Shadowfell's horrors. Most Vistani bands accept well-intentioned wayfarers from diverse walks and of disparate origins, embracing any who seek to find a home amid the endless roads and vistas hidden amid the mists."", 'A halfling Vistani, Mother Luba led one of the largest groups of Vistani in the Shadowfell. She hailed from the same world that Count Strahd von Zarovich and Madam Eva came from, and she created a community of kindness and resilience-ever rare to find in the Plane of Shadow. She led her people in welcoming strangers, feeding the hungry, and defying the cruel. She and Madam Eva were once friends, until Madam Eva began bargaining with the creatures of the night. ""We may wander amid the shadows,"" Mother Luba said. ""But we must ever serve as a light to our fellow travelers.""', 'Some years ago, Mother Luba disappeared into the mists, leaving behind only the Tarokka of Souls. It is said that if you draw the Mists card from it, you can hear the whispers of her kind voice.']}] "
Luba's Tarokka of Souls,TCE,artifact,by all race,,," Not all lingering spirits are tragic souls, lost on their way to the hereafter. Some languish as prisoners, souls so wicked mortals dare not free them upon an unsuspecting afterlife. Created by a figure of Vistani legend, Luba's Tarokka of Souls shaped the destiny of countless heroes. The prophecies of this deck of cards also revealed great evils and guided its creator into the path of nefarious forces. Untold times the deck's creator, Mother Luba, narrowly escaped doom, spared only by her keen insights. But even for her, not all wickedness could be escaped. In the most dire cases, Mother Luba managed to ensnare beings of pure evil amid the strands of fate, imprisoning them within her {@deck tarokka deck}. There these foul spirits dwell still, trapped within a nether-realm hidden amid shuffling cards, waiting for fate to turn foul—as it inevitably will. Like all {@deck Tarokka Deck}, the {@i Tarokka of Souls} is a lavishly illustrated collection of fifty-four cards, comprising the fourteen cards of the high deck and forty other cards divided into four suits: coins, glyphs, stars, and swords. "
Fragment of Possibility,EGW,legendary,False,,,"[""A creature that touches the beacon and concentrates for 1 minute receives a Fragment of Possibility, which looks like a Tiny, grayish bead of energy that follows the creature around, staying within 1 foot of it at all times. The fragment lasts for 8 hours or until used. Once the beacon grants a Fragment of Possibility, it can't grant another until the next dawn. A creature with a Fragment of Possibility from a Luxon Beacon can't gain another Fragment of Possibility from any source."", 'When a creature with a Fragment of Possibility makes an attack roll, an ability check, or a saving throw, it can expend its fragment to roll an additional {@dice d20} and choose which of the {@dice d20}s to use. Alternatively, when an attack roll is made against the creature, it can expend its fragment to roll a {@dice d20} and choose which of the {@dice d20}s to use, the one it rolled or the one the attacker rolled.', 'If the original {@dice d20} roll has advantage or disadvantage, the creature rolls its {@dice d20} after advantage or disadvantage has been applied to the original roll.'] "
Soul Snare,EGW,legendary,False,,,"['If a follower of the Luxon who has undergone a ritual of consecution dies within 100 miles of a Luxon Beacon, their soul is ensnared by it. This soul will be reincarnated within the body of a random humanoid baby developing within 100 miles of the beacon.'] "
Luxon Beacon,EGW,legendary,False,,," This dodecahedron of faintly glowing crystal is heavier than it appears. A set of handles are affixed to its sides, and it pulsates and thrums when touched. "
Lyre of Building,TCE,rare,by a bard,,," While holding this {@item lyre}, you can cast {@spell mending} as an action. You can also play the {@item lyre} as a reaction when an object or a structure you can see within 300 feet of you takes damage, causing it to be immune to that damage and any further damage of the same type until the start of your next turn. In addition, you can play the {@item lyre} as an action to cast {@spell fabricate}, {@spell move earth}, {@spell passwall}, or {@spell summon construct}, and that spell can't be cast from it again until the next dawn. "
Mace of Disruption,DMG,rare,by all race,,," When you hit a fiend or an undead with this magic weapon, that creature takes an extra {@damage 2d6} radiant damage. If the target has 25 hit points or fewer after taking this damage, it must succeed on a DC 15 Wisdom saving throw or be destroyed. On a successful save, the creature becomes {@condition frightened} of you until the end of your next turn. While you hold this weapon, it sheds bright light in a 20-foot radius and dim light for an additional 20 feet. "
Mace of Smiting,DMG,rare,False,,," You gain a +1 bonus to attack and damage rolls made with this magic weapon. The bonus increases to +3 when you use the mace to attack a construct. When you roll a 20 on an attack roll made with this weapon, the target takes an extra 7 bludgeoning damage, or an extra 14 bludgeoning damage if it's a construct. If a construct has 25 hit points or fewer after taking this damage, it is destroyed. {@note Note: According to the SRD, it is an extra {@dice 2d6} and {@damage 4d6} bludgeoning damage, although {@link this is incorrect}}. "
Mace of Terror,DMG,rare,by all race,,," This magic weapon has 3 charges. While holding it, you can use an action and expend 1 charge to release a wave of terror. Each creature of your choice in a 30-foot radius extending from you must succeed on a DC 15 Wisdom saving throw or become {@condition frightened} of you for 1 minute. While it is {@condition frightened} in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action it can use only the {@action Dash} action or try to escape from an effect that prevents it from moving. If it has nowhere it can move, the creature can use the {@action Dodge} action. At the end of each of its turns, a creature can repeat the saving throw, ending the effect on itself on a success. The mace regains {@dice 1d3} expended charges daily at dawn. "
Sentience,EGW,artifact,by all race,,,"['The Mace of the Black Crown is a sentient lawful evil weapon with an Intelligence of 20, a Wisdom of 12, and a Charisma of 18. It has hearing and {@sense darkvision} out to a range of 120 feet.', 'The weapon communicates telepathically with its wielder and can speak, read, and understand Common and Infernal.'] "
Personality,EGW,artifact,by all race,,,"[""A greedy {@creature erinyes} named Xartaza lives within the Mace of the Black Crown. Xartaza wants to recruit more souls for Asmodeus, so the weapon pushes its wielder toward lawful evil actions by manipulating the wielder's dreams. A former Blood War general, Xartaza hates demons and relishes crafting sound battle plans in any conflict.""] "
Dormant,EGW,artifact,by all race,,,"['The mace grants the following benefits in its dormant state:', {'type': 'list', 'items': ['You can speak, read, and write Infernal.', 'You gain a +1 bonus to attack and damage rolls made with this magic weapon.', 'While holding the mace, you can use a bonus action to speak its Infernal command word, causing flames to erupt from the head. These flames shed bright light in a 40-foot radius and dim light for an additional 40 feet. While the mace is ablaze, it deals an extra {@damage 1d6} fire damage to any target it hits. The flames last until you use a bonus action to speak the command word again or until you are no longer holding the mace.', ""While holding the mace, you can use an action to summon an {@creature imp}. Any devil you summon with this mace is friendly to you and your companions for the duration. The imp obeys any verbal commands that you issue to it and returns to the Nine Hells 10 minutes after you summoned it. This property can't be used again until the next dawn.""]}] "
Betrayer Artifact Properties,EGW,artifact,by all race,,,"['The Arms of the Betrayers advance in power in the same manner as the Vestiges of Divergence. In its dormant state, each of these artifacts has one {@table Artifact Properties; Minor Beneficial Properties} property and one {@table Artifact Properties; Minor Detrimental Properties} property. When the artifact attains an awakened state, it gains an additional {@table Artifact Properties; Minor Beneficial Properties} property and an additional {@table Artifact Properties; Minor Detrimental Properties} property. When the item reaches its exalted state, it gains a {@table Artifact Properties; Major Beneficial Properties} property. See ""Artifact Properties"" in chapter 7 of the Dungeon Master\'s Guide for more information.'] "
Mace of the Black Crown (Dormant),EGW,artifact,by all race,,," This mace has a haft of black iron and a ruby head with a fiendish countenance. Carrying the boon of Asmodeus, it is fit for the most powerful servants of the Nine Hells. "
Magnifying Glass,PHB,none,False,,," This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed. "
Malachite,DMG,none,False,,, An opaque striated light and dark green gemstone. 
Malice,DMG,none,False,,, A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become {@condition poisoned} for 1 hour. The {@condition poisoned} creature is {@condition blinded}. 
Manacles,PHB,none,False,,," These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with {@item thieves' tools} can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points. "
Mantle of Spell Resistance,DMG,rare,by all race,,, You have advantage on saving throws against spells while you wear this cloak. 
Manual of Bodily Health,DMG,very rare,False,,," This book contains health and diet tips, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Constitution score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century. "
Manual of Clay Golems,DMG,very rare,False,,," This tome contains information and incantations necessary to make a particular type of golem. The DM chooses the type or determines it randomly. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a manual of golems and attempts to read it takes {@damage 6d6} psychic damage. To create a {@creature clay golem}, you must spend 30 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 65,000 gp to purchase supplies. Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands. "
Manual of Flesh Golems,DMG,very rare,False,,," This tome contains information and incantations necessary to make a particular type of golem. The DM chooses the type or determines it randomly. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a manual of golems and attempts to read it takes {@damage 6d6} psychic damage. To create a {@creature flesh golem}, you must spend 60 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 50,000 gp to purchase supplies. Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands. "
Manual of Gainful Exercise,DMG,very rare,False,,," This book describes fitness exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Strength score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century. "
Manual of Iron Golems,DMG,very rare,False,,," This tome contains information and incantations necessary to make a particular type of golem. The DM chooses the type or determines it randomly. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a manual of golems and attempts to read it takes {@damage 6d6} psychic damage. To create an {@creature iron golem}, you must spend 120 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 100,000 gp to purchase supplies. Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands. "
Manual of Quickness of Action,DMG,very rare,False,,," This book contains coordination and balance exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Dexterity score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century. "
Manual of Stone Golems,DMG,very rare,False,,," This tome contains information and incantations necessary to make a particular type of golem. The DM chooses the type or determines it randomly. To decipher and use the manual, you must be a spellcaster with at least two 5th-level spell slots. A creature that can't use a manual of golems and attempts to read it takes {@damage 6d6} psychic damage. To create a {@creature stone golem}, you must spend 90 days, working without interruption with the manual at hand and resting no more than 8 hours per day. You must also pay 80,000 gp to purchase supplies. Once you finish creating the golem, the book is consumed in eldritch flames. The golem becomes animate when the ashes of the manual are sprinkled on it. It is under your control, and it understands and obeys your spoken commands. "
Map or Scroll Case,PHB,none,False,,, This cylindrical leather case can hold up to ten rolled-up {@item paper (one sheet)} or five rolled-up {@item parchment (one sheet)}. 
Tattoo Attunement,TCE,common,by all race,,,"['To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.', 'If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.'] "
Fluid Ink,TCE,common,by all race,,,"['As a bonus action, you can shape the tattoo into any color or pattern and move it to any area of your skin. Whatever form it takes, it is always obviously a tattoo. It can range in size from no smaller than a copper piece to an intricate work of art that covers all your skin.'] "
Disguise Self,TCE,common,by all race,,,"[""As an action, you can use the tattoo to cast the {@spell disguise self} spell (DC 13 to discern the disguise). Once the spell is cast from the tattoo, it can't be cast from the tattoo again until the next dawn.""] "
Masquerade Tattoo,TCE,common,by all race,,," Produced by a special needle, this magic tattoo appears on your body as whatever you desire. "
Medallion of Thoughts,DMG,uncommon,by all race,,," The medallion has 3 charges. While wearing it, you can use an action and expend 1 charge to cast the {@spell detect thoughts} spell (save DC 13) from it. The medallion regains {@dice 1d3} expended charges daily at dawn. "
Merchant's Scale,PHB,none,False,,," A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth. "
Mess Kit,PHB,none,False,,," This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl. "
Midnight Tears,DMG,none,False,,," A creature that ingests this poison suffers no effect until the stroke of midnight. If the poison has not been neutralized before then, the creature must succeed on a DC 17 Constitution saving throw, taking 31 ({@damage 9d6}) poison damage on a failed save, or half as much damage on a successful one. "
Dangerous Attunement,TCE,artifact,by all race,,,"['Two creatures can be attuned to the servant at a time. If a third creature tries to attune to it, nothing happens.', ""The servant's controls are accessed by a hatch in its upper back, which is easily opened while there are no creatures attuned to the artifact."", 'Attuning to the artifact requires two hours, which can be undertaken as part of a long rest, during which time you must be inside the servant, interacting with its controls. While crew members are attuning themselves, any creature or structure outside and within 50 feet of the servant has a {@chance 25} chance of being accidentally targeted by one of its Destructive Fist attacks once during the attunement. This process must be undergone every time a creature attunes itself to the artifact.'] "
Controlling the Servant,TCE,artifact,by all race,,,"[""While any creatures are attuned to the artifact, attuned creatures can open the hatch as easily as any other door. Other creatures can open the hatch as an action with a successful DC 25 Dexterity check using {@item thieves' tools}. A {@spell knock} spell cast on the hatch also opens it until the start of the caster's next turn."", 'A creature can enter or exit through the hatch by spending 10 feet of movement. Those inside the servant have total cover from effects originating outside it. The controls within it allow creatures to see outside without obstruction.', 'While you are inside the servant, you can command it by using the controls. During your turn (for either attuned creature), you can command it in the following ways:', {'type': 'list', 'items': ['Open or close the hatch (no action required, once per turn)', 'Move the servant up to its speed (no action required)', 'As an action, you can command the servant to take one of the actions in its stat block or some other action.', 'When a creature provokes an opportunity attack from the servant, you can use your reaction to command the servant to make one Destructive Fist attack against that creature.']}, 'While there are no attuned creatures inside the servant, it is an inert object.'] "
Ghost in the Machine,TCE,artifact,by all race,,,"[""Upon his death, the soul of the mighty warlord Leuk-o was drawn into the artifact and has become its animating force. The servant has been known to attack or move of its own accord, particularly if doing so will cause destruction. Once every 24 hours, the servant, at the DM's discretion, takes one action while uncrewed."", 'If the servant loses half of its hit points or more, each creature attuned to it must succeed on a DC 20 Wisdom saving throw or be {@condition charmed} for 24 hours. While {@condition charmed} in this way, the creature goes on a destructive spree, seeking to destroy structures and attack any unattuned creatures within sight of the servant, starting with those threatening the artifact-preferably using the servant, if possible.'] "
Self-Destruct,TCE,artifact,by all race,,,"[""By inputting a specific series of lever pulls and button presses, the servant's two crew members can cause it to explode. The self-destruct code is not revealed to crew members when they attune to the artifact. If the code is discovered (the DM determines how), it requires two attuned crew members to be inside the servant and spend their actions on 3 consecutive rounds performing the command. Should the crew members begin the process of entering the code, though, the servant uses its Ghost in the Machine property and turns the crew members against each other."", 'If the crew members successfully implement the code, at the end of the third round, the servant explodes. Every creature in a 100-foot-radius sphere centered on the servant must make a DC 25 Dexterity saving throw. On a failed save, a creature takes 87 ({@damage 25d6}) force damage, 87 ({@damage 25d6}) lightning damage, and 87 ({@damage 25d6}) thunder damage. On a successful save, a creature takes half as much damage. Objects and structures in the area take triple damage. Creatures inside the servant are slain instantly and leave behind no remains.', 'This does not destroy the servant permanently. Rather, {@dice 2d6} days later, its parts—left arm, left leg, right arm, right leg, lower torso, and upper torso—drop from the sky in random places within 1,000 miles of the explosion. If brought within 5 feet of one another, the pieces reconnect and reform the servant.'] "
